RecordedDate,Q1:Lawyer,Q2:Lawyer,Q2,Q1:Politician,Q2:Politician,Q3,id
2024-04-18 11:02:08,"strong willed, arrogant, smart, conniving, persuasive, smooth talkers, narssistic ","shy, quiet, underspoken, not driven",Yes,"mean, arrogant, money hungry, selfish, deceiving ","kind, selfless, loving, sweet, funny, helpful, fair","tired, attractive, thirsty, physically strong, fit, ",30733
2024-04-18 11:09:08,"articulate, money-grabbing, no morals",Being inarticulate,Yes,Corrupt,Honest,sleepy,34052
2024-04-18 11:12:06,"Snarky, know-it-all's, try hards, cool, serious, doesn't party, always studying","Devoted, inspiring, inspired, hard-working on and off the case",Yes,"too political, no fun, parties too much at times, has to much money for no reason, waste a lot of money, creepy, ignorant","Devoted, humble, looks out for future generations no matter the political side","energetic, active physically, chores, outdoor activites",33420
2024-04-18 11:25:25,"Stern, Emotionless, Serious","Soft-hearted, emotional, want the best",Yes,"dishonest, out of touch, ineffective ","authentic, consistent, empathetic","kindness, creativness, work ethic",15662
2024-04-18 11:26:11,"smart, organized, strict ","fun, loose, easy going ",Yes,"Out of touch, fake, liars, power hungry ","honesty, transparency, reliability, genuine ","hungry, ",32088
2024-04-18 11:37:15,Aggressive,Lazy,Yes,"Fake, Unpleasant, liars",Taking Action ,These positions all have in common that people just want to make a living. ,32895
2024-04-18 11:37:15,"Stern, Stressed, Rich, Lonely ","Their Rigorous academics, their sacrifices, the internal battle",Yes,"Mindless, Absent","Diversity, Genuineness ","Elated, relaxed, optimistic ",33839
2024-04-18 11:38:32,"trustworthy, helpful, educated, smart","dumb, cheap",Yes,"educated, old, dirty, rich, set in their ways","trustworthy, young, uneducated, cares about the environment",cold,33637
2024-04-18 11:39:23,"Confident, well educated, well spoken, rich",Not educated,Yes,"Rich, men, white, educated","Empathy, compassion, not educated, poor",selfish,32221
2024-04-18 11:41:41,Lawyer might be viewed as manipulative or argumentative because of their position as a lawyer,"Creativity, empathy, Introverted",Yes,Dishonesty,Unprofessional,"Spontaneous, carefree",33798
2024-04-18 11:44:58,"Greedy, selfish, exploitative. ",Caring,Yes,"That they are a greedy, capitalistic, and unethical.",Honesty,"Honest, humble, honorable ",34393
2024-04-18 11:46:10,"Smart, rich, serious, straight face","emotional, warm hearted, ",Yes,"serious, organizedv",introvert,Organization,28110
2024-04-18 11:47:29,"they are all going to hell, they are greedy, sociopaths","good person, honest",Yes,"liars, two faced","honest, caring","creativity, empathy, risk taking, flexibility",34296
2024-04-18 11:57:50,They're rich and workaholics,Creativity,Yes,"They're liars, self-serving, out of touch, and two faced",Humility and transparency,Sense of humor: lawyers and politicians don't necessarily have more or less of a sense of humor of an average person.,34341
2024-04-18 12:09:40,Know a lot about the law. Usually intelligent,knowledge on medial things,Yes,"smart, has a lot of experience ",not sure,thirsty ,34280
2024-04-18 12:13:04,"Smart, argumentative, stubborn, well paid, trustworthy, hard working","dumb, combative, lazy, minimalist",Yes,"untrustworthy, stubborn, manipulative, arrogant, rich","uncensored, straightforward, empathetic, in touch, young, understanding","tall, attractive, abstract, creative, sweaty,",20774
2024-04-18 12:16:26,"They are confident, dominant leaders, extraverted, and very smart.",They aren't typically introverted.,Yes,"I don't know much but I'm assuming maybe they are dominant leaders, extraverted, clear and concise.",Maybe that they are less compassionate compared to others.,I have no clue,32119
2024-04-18 12:20:17,Smart,They are unbiased,Yes,Extreme,Extreme,Mean,34436
2024-04-18 12:28:47,Lawyers are always rich and can easily afford a higher education; lawyers are just good at lying; lawyers are proud or snooty,"Honesty, a genuine personality, humbleness",Yes,"Politicians are self-interested, deceptive, uneducated, corrupt","A genuine personality, humbleness, compassion, sympathy","Lawyers, politicians, and the average person could all be bored, happy, sad, depressed, anxious, in love, etc.",34207
2024-04-18 12:35:40,dedicated,lazy,Yes,argumentative,careless,thirsty,33555
2024-04-18 12:39:14,"mean, cocky, powerful","stressed, concerned, nervous",Yes,"old-fashioned, conservative, mean, selfish, rude, inconsiderate","nice, helpful, thoughtful, caring, hard-working","weird, annoying, bored",34409
2024-04-18 12:45:45,"rich, mean, hard-working, smart, know-it-alls","lazy, introverted",Yes,"greedy, manipulators","introverted, empathy","hungry, ambitious, charismatic",30986
2024-04-18 12:47:01,they are determined ,honesty ,Yes,they treat the country how they treat others ,stupidity when it comes to the economy ,no social life ,23745
2024-04-18 12:47:58,Why did God create snakes before lawyers? He needed the practice,"Empathy, analytics, compassionate",Yes,"Conniving, untrustworthy, crooked","Amicable, friendly, conceited","hungry, thirsty, angry",24515
2024-04-18 12:52:53,"bossy, strong, exhausted, etc","unsure, wishy washy",Yes,"hypocritical, racist, homophobic, stereotypical, etc","caring, affectionate, understanding, willing ",unsure.,33868
2024-04-18 12:53:17,there mean,there super smart,Yes,there Americans ,there rich,sad,34353
2024-04-18 12:54:04,"Smart, Rich, Stuck-up","Stupid, poor ",Yes,"Loud, Selfish, Evil ",Generous ,Stupid ,34346
2024-04-18 12:57:29,"aggressive, monehy hungry",compassion?,Yes,involved in federal crimes,im not sure,"compassiom, determination",32810
2024-04-18 12:59:04,"smart and hardworking, protective and put together. ","disorganized, unethical, unprofessional, and unassertive ",Yes,"corrupt, unethical, business obsessed, money hungry, and power hungry.","empathy, compasion, and relatableness ","thirsty, happy, angry, other things that are strictly apart of being human. ",33699
2024-04-18 13:18:14,"Mean,Smart",i dont know ,Yes,Scandalous ,helpful,?,34428
2024-04-18 13:20:20,"don't necessarily believe in their client. slimey, also money hungry","caring, humility, ",Yes,"greedy, money hungry, will do anything for a tax break. ",not lying ,"simple lifestyle, tax bracket difference ",34430
2024-04-18 13:24:34,"know it alls, cocky, rude ","nice, quiet, stand of ish",Yes,"conservatives, racists, liberals","nice, caring, easy going","energetic, strong, skinny, ",29507
2024-04-18 13:27:34,"Smart, rich, rude, ruthless, lack of empathy, manipulative, see themselves as superior to others, having glamorous lives","Empathy, introversion, shy, poor persuasion/communication skills, humble",Yes,"Greedy, manipulative, not empathetic, two faced, born rich, intelligent, well spoken","Empathy, humble beginnings, bad at public speaking, shy","Small/big, strong/weak, loyal, curious, creative, patient, funny",34411
2024-04-18 13:28:32,They are rich and privileged people. ,That they are kind and nice. ,Yes,They are selfish and liars. ,They care about others beside their campaign. ,They may not associate looks with different social groups. ,31403
2024-04-18 13:33:16,They make a lot of money and are smart. ,They enjoy parasailing.,Yes,They are greedy and are money pushers.,They donate to charities and help those in need.,"friendly, sociable, thirsty, healthy",32877
2024-04-18 13:38:53,"Hardworking, stubborn, mean, ",Kindness,Yes,"unfair, closed minded, unjust, secretive","Fairness, understanding, honest","hungry, sad, struggling, ",33536
2024-04-18 13:38:56,"opinionated, powerful, argumentative, maybe harsh","open and friendly, inclusive",Yes,"Common stereotypes include rich, white, old men as politicians.",You wouldn't expect a politician to have a wide perspective on all of the different types of people in America since they come from a certain background only a select few of Americans come from.,"tall, grateful, sad",34074
2024-04-18 13:46:22,They are all liars or manipulators,Lawyers should not be liars or manipulators and should be honest representatives,Yes,That they are very corrupt,They should not be corrupt , ,34115
2024-04-18 13:49:33,They are smart and are hard workers. They're logical people that like to help people.,They do drugs. They don't like to work.,Yes,They love to influence people. They like money and power. They like to be the center of attention.,They aren't ambitious. They are not smart. They are introverts.,Family oriented. Nice. Happy.,34332
2024-04-18 13:52:45,Focused on money,Compassion,Yes,"Most politicians don't care about the people, are liars, and focus on money",Uncompassionate,Intelligent ,33515
2024-04-18 13:53:34,"rich, smart, liars","corrupt, expensive",Yes,"liars, corrupt, after money","criminals, mafia","hungry, thirsty, evil, satanic",33915
2024-04-18 13:59:36,"cold-hearted, uptight",empathy,Yes,"greedy, heartless, power-hungry",heart/empathy,sick,29565
2024-04-18 14:01:34,"Lawyers are biased towards wealthier people, lawyers are smart, lawyers are wealthy. ","Lawyers are not stupid, lawyers are not always unbiased, lawyers are not always nice. ",Yes,"Politicians are liars, are racist or biased politicians are money and power hungry, politicians don't care about citizens.","Traits that one would not expect in politicians include: honesty, kindness, empathy, and selflessness. ","Traits not more or less likely for a lawyer, political or average person include: tiredness, excitement, or particular music preferences. ",34068
2024-04-18 14:05:44,"Rich, smart, arrogant","Poor, dumb, uneducated",Yes,"Greedy, deceitful, liars, powerful","humility, shy, quiet, honest","hungry, horny, angry, happy, sad",30644
2024-04-18 14:07:26,"Rich, powerful, Male, white","Poor, truthful, sweet, caring",Yes,"Rude, power hungry, male","Kind, friendly, poor, female",Kind,34327
2024-04-18 14:08:04,"they're smart, argumentative, they like school, they have money. ","They are relaxed, they are easy going, non argumentative ",Yes,"Argumentative, intense, opinionated","Open, easy going, good listener","Beautiful, funny",29015
2024-04-18 14:10:17,"liars, money hungry ","Artistic, eccentric, spiritual ",Yes,"corruption, self-serving, incompetence ","Humility, empathy, sense of humor ","Adventurousness, Humility,Open-mindedness",34247
2024-04-18 14:16:05,hardworkers ,that they are harsh ,Yes,democratic,that they are important,maybe not be athletes,34355
2024-04-18 14:16:29,that they are heartless,being soft,Yes,that they don't care about the people,a big family,athletic,34018
2024-04-18 14:17:42,"Demanding, loud, argumentative ","disorganization, reserved",Yes,"stable, extravert, organized, powerful","quiet, accountable","happy, hungry, smelly, tired",33325
2024-04-18 14:23:42,"Alcoholics, no free time, smart","lazy, extremely nice, ",Yes,"dirty, uncaring, rich, money hungry","kind, empathetic, sympathetic","skinny, heavy, happy, angry",27986
2024-04-18 14:24:07,"They're hard workers, can be defensive, and dedicated","An obnoxious personality, and being immature",Yes,"Very argumentative, one sided/close minded, biased, and dedicated to their political orientation",a non biased mindset,Being a lawyer or politician doesn't have to do with personality,34260
2024-04-18 14:29:52,"stuck up, know-it-all, smart",time,Yes,"stuck up, insensitive, dictator-like, murderers","kindness, generosity ",less energetic,34394
2024-04-18 14:30:46,cold-hearted,"disorganized, spontaneity",Yes,"money hungry, selfish",selflessness,"tired, thirsty, adorable",30837
2024-04-18 14:38:50,"competitive, glamorous, argumentative","empathy, creative thinking",Yes,"self interests, dishonesty","collaborative, humanistic",athletic,34453
2024-04-18 14:41:21,"smart, rich, daddys money, men","blonde, nice, poor",Yes,"trump: orange, criminal, mocks the way he talks. biden: old, child petting, the better old guy, geriatric. Kamala Harris: man? stupid, woman. ","people wouldnt agree that either of them are good candidates, that theyre doing crazy foreign affairs or affairs within the office","sleepy, mentally ill, money",32623
2024-04-18 14:45:46,"smart, honest","dumb, liar",Yes,"dishonest, smart, hard worker",honest,"hungry, lazy, patient",29281
2024-04-18 14:46:18,"smart, aggressive, rich","loving, kindhearted, dumb",Yes,"greedy, selfless, rich, power",poor,"hungry, obese, thin, happy",34071
2024-04-18 14:55:12,"Smart, Stern, not very humorous, Strict","Loose, Distractable, Underachieved",Yes,"They may believe they are good or bad from one idea they have such as being for or against abortion, or not be very political at all.","Snobby, Unfair, Unjust, Biased","Attractiveness, Tiredness, Thirstiness",32746
2024-04-18 14:56:47,"bias, uptight, immoral, unemotional, smart, work-oriented, uncaring","family-oriented, moral, caring, dumb, soft hearted",Yes,"selfish, rude, dumb, self-absorbed","kindness, morality, understanding, trustworthy","hungry, exhaustion, personas, love, hobbies",29777
2024-04-18 14:57:09,Stubborn,Giving up attitude,Yes,Im not sure,Mixed or unclear opinions,Tired,33016
2024-04-18 15:00:08,"hardworking, rich, smart, fair","lazy, dumb",Yes,"corrupt, ineffective, useless","understanding, caring, just","tall, short, funny",23875
2024-04-18 15:11:58,"Strict, hard","Nice, soft",Yes,"Smart, hardworking ","Dumb, not like to debate",Mean ,34175
2024-04-18 15:17:44,"cold, stubborn, smart, like to argue, workaholic","dumb, not gone to law school, poor",Yes,"selfish, crimes, lies, scandals, republican, democrat","poor, homeless, no social connections, no political affiliation","thirsty, hungry, want love, want success, basic human needs",31950
2024-04-18 15:22:16,tired,relaxed,Yes,rich,humble,thirsty ,32880
2024-04-18 15:22:52,"they are rich, they are stuck up, they are prestigious","laid back, easy going, warm, outgoing",Yes,"they are greedy, they are corrupt ","caring, genuine, understanding ","happy, depressed, lonely",33179
2024-04-18 15:28:14,"Stuck up, rude, cold, intelligent, overbearing, passionate","compassion, open-mindedness",Yes,"corrupt, twisted, evil, power-hungry","genuineness, intention","carefree, playful",32819
2024-04-18 15:29:31,"liars, sleazy, smart, put together, ","honesty, messiness, laziness",Yes,"They are prejudice, liars, annoying, fake news, crazy, white, biased, out of touch","empathy, friendliness, honesty, charity, sanity","creative, empathetic, giving, sick",33317
2024-04-18 15:37:15,smart and rich and dress nice,lazy ,Yes,very social and charming,anitsocial or rude,boring,31082
2024-04-18 15:42:52,"demanding, controlling, argumentative, overly confident, persuasive, intimidating","open-minded, heartwarming",Yes,"nosey, talkative, opinionated","open-minded, unbiased","thirsty, active, happy, grateful",31295
2024-04-18 15:48:34,"smart, put together, egotistical, arrogant, professional","trauma, relaxed state, empathy",Yes,"rude, unfair, money hungry","empathy, open mind, fairness","happy, lonely ",28115
2024-04-18 15:54:54,"always in court, only afforded by the rich, good at lying, ","empathy, work-life balance, ",Yes,"money hungry, negative characteristics ","actually want the best for us, understand its your body & your choice, doing everything in their power to do what they promised.","trustworthy, detail oriented, understanding",32776
2024-04-18 16:07:10,"They're boring, hardworking, smart, argumentative","Being fun, funny, lazy",Yes,"By the book, strict, boring, ","Rebels, fun, relaxed","smart, organized, successful",34080
2024-04-18 16:08:32,They are smart people,empathy or kindness,Yes,they don't care about the general population. they are rich and out of touch with reality ,Being genuine,vulnerable ,34455
2024-04-18 16:20:21,"Stuck up, money, smart ","They dumb, go out a lot ",Yes,"Strong headed, stuck up, issue starters ","Nice, not backstabbers ",being a Lawyer or Politician probably doesn’t make you more or less likely to be smart compared to a normal person.,34129
2024-04-18 16:21:44,"angry, alcoholics, arrogant, aggresive, manipulative ","soft spoken, humble, family oriented",Yes,"rude, snobby, entitled, arogant","honest, family oriented, kind","hungry, sad, fatigued",31659
2024-04-18 16:23:46,"Wealthy, Arrogant, Confident, Powerful",Honesty,Yes,Corrupt,Kindness,"Tired, Thirsty",33308
2024-04-18 16:34:36,"smart, type A, hard working","stupid, unaware",Yes,"Old, corrupt, dumb, incapable","unbiased, caring, young",tired,27632
2024-04-18 16:36:08,they are serious. they are smart. they are wealthy. ,having a sense of humor. being nice. ,Yes,they are liars. they are serious. ,serious. stern. mean. ,healthy. ,31675
2024-04-18 16:40:44,"aggressive, workaholics","truthful, quiet",Yes,"leaders, opinionated, old","young, uneducated","hungry, athletic",33511
2024-04-18 16:48:20,All lawyers are reliable. All lawyers follow the law. Lawyers are dishonest.,"Low intelligence, Mean, Lazy",Yes,"They lie, they are unintelligent, they do not know what they are talking about","Lazy, Evil, Funny, not smart","Mean, Kind, tired, energetic",34003
2024-04-18 16:52:03,"rude, stuck-up, full of themselves, tough, hardworking, dedicated, impressive","kindess, empathy",Yes,"annoying. obnoxious, rude, over-bearing, open-minded, dedicated, strong minded","kind, openness, gentle","happy, thirsty, energetic, motivated, ",32725
2024-04-18 17:03:54,"they are wealthy, stuck up, biased ","poor, ",Yes,"that they dont know what they are doing, they make poor decision, they dont think about our opinions and ideas ",caring ,"poor, hungry ",27860
2024-04-18 17:07:33,"smart ass, uptight, argumentative ","lazy, uncommunicative, scared",Yes,"smart, cunning, attractive, charming, clever","unattractive, lazy, awkward, socially anxious ","introverted, creative, plays the guitar, meditates ",34200
2024-04-18 17:07:42,lawyers get criminals out of jail,being poor,Yes,"conservatives are racist, liberals want to change the world for worse, liberals let anyone in the country, liberals want higher taxes",conservatives don't like gay people,rich,33978
2024-04-18 17:08:05,They’re argumentative they’re rich and they’re white men,Being kind ,Yes,"They’re crooked and money minded, conservative ",That they advocate for everyone all different types of marginalized groups ,"Hungry, tiredness, talkative",33520
2024-04-18 17:16:12,"They're pretentious, they're incredibly smart, they're just like harvey and mike from suits, they all go to an ivy to be successful, and if they're unsuccessful they end up as personal injury lawyers","kind, caring, compassionate, involved, and fun",Yes,"full of themselves, arrogant, sleazy, ineffective, terrible human beings, pointless, scum ","determined, willfull, honest, kind, caring, compassionate ","hungry, clean, dirty, unappealing, tired",34385
2024-04-18 17:16:42,"Very rich, powerful, must know the law very well","Have a felony, Not live in Case Hall",Yes,"Corrupt, Greedy, Liars, Life Savers, Criminals, Saints, Devils, Stupid, ","Morals, Not trying to insider trade","Hungry, Not real",34307
2024-04-18 17:22:09,In it for money,empathy,Yes,scummy,They care,"hungry, anger, sadness, depression",33702
2024-04-18 17:26:20,"Lawyers are aggressive, Always super serious, Make a lot of money ","Goofy, Into extreme sports, Super Artistic, ",Yes,"Dishonest or corrupt, Great public speakers, They’re out of touch with the everyday concerns of regular people","Great sense of humor, A love for outdoor activities, Strong passion for art","Circus skills, A hidden talent for singing, Secret life as a street artist, Flexibility ",33314
2024-04-18 17:47:22,"mean, think they are better than everyone else ",happiness ,Yes,"dont care, grumpy, ",a happy life outisde of politics,"hungry, sleepy, happy, annoyed, ",32948
2024-04-18 17:53:00,"Manipulative, Slick, Sharp","Analytic, caring, kind",Yes,"Liars, manipulative, indifferent","Caring, empathetic, selfless","Funny, Talent, ",28898
2024-04-18 17:55:45,"Strong minded, smart","kind, unloyal",Yes,"Leader, smart","kind, unloyal ",intellegence ,34169
2024-04-18 18:06:20,"Cooked, Rich, Good Negotiators, Selfish, Corporate, Good-looking, Good Talkers, Confident","Poor, Unconfident, Lazy, Dumb, Antisocial",Yes,"Corrupt, Manipulative, Power-Driven, Rich, Disconnected, Selfish, Cheats","Upstanding, Honest, Poor, Humbleness, Humility","Hungry, Thirsty, Tired, Painless",33013
2024-04-18 18:08:32,"smart, ","lazy, unorganized",Yes,"corrupt, untrustworthy, personal best interest","anti social, lazy, trustworthy ","tired, hungry, thirsty, ",34133
2024-04-18 18:09:44,"rich, intelligent",low income,Yes,greedy,low income,"being thirsty, being angry",26350
2024-04-18 18:13:13,"Untrustworthy, Argumentative, Manipulative, ","shy, Disorganized, Unambitious",Yes,"Corrupt, dishonest, manipulative, self-serving, eloquent, power-hungry, wealthy, privileged, insincere, out of touch.","Shy, apolitical, disorganized, technologically inept, introverted, non-strategic, indifferent to public opinion, unambitious, transparent, genuinely altruistic.","Hungry, tired, colorblind, left-handed, allergic to peanuts, enjoys ice cream, needs glasses, likes watching movies, afraid of spiders, prefers tea over coffee.",33144
2024-04-18 18:22:48,none,none,Yes,none,selfish,none,33252
2024-04-18 18:32:41,"argumentative, smart, busy, rich, manipulators","lazy, generous overall",Yes,"dishonest, stubborn, manipulative","trustworthy, lazy, kind","loved, can be emotional, works hard, has a social network",28408
2024-04-18 18:32:49,smart rude rich,love,Yes,Fake liberal conservatives ,smarts ,politations sre cheap,31808
2024-04-18 18:37:56,They help people when they are in legal trouble ,"Stern,loud,skart",Yes,Mean and slimy,Loving ,Thirsty ,33980
2024-04-18 18:45:02,"arguing, heardheaded",timid,Yes,stuck,timid,hungry,32891
2024-04-18 18:49:57,"rule follower, aggressive, always working","creativity, willing to listen",Yes,"exagerates the differences of their beliefs, aggressive, tough",compassion and carfulness,"hungry, struggling with money, and bored",33623
2024-04-18 18:53:08,"Know what to say in court, Knows how to dress (Business), Knowledgable about Law, Knows the constitution","Bad Speaker, Dumb, No common sense, No law knowlege",Yes,"Democrats: Blue Hair, LGBTQ+, Non religious, Loud   Republicans: Trucks, Mullet, Homophobic.         These are stereotypes by no means do I think either are true","Bad Speaker, Non convincing, No plans, No campaign, No advertisement, Don't know who the politician is (I did the last question wrong) ","Being good at golf, eating, sleeping",34045
2024-04-18 18:55:23,"scary, rude, smart ",warm and comforting ,Yes,self interest and honesty ,"loving, warm and comforting ",They have families and are caring genuine people ,34459
2024-04-18 18:56:54,strong willed,truthful,Yes,intelligent,truthful,"intelligent, sociable",34424
2024-04-18 19:01:03,"Potentially self-absorbed, wealthy, smart, confident, good with words, immoral","A lot of kindness, ethics, humbleness ",Yes,"Potentially corrupt, good with words, confident, liars, power hungry, intelligent, unethical, leaders","humbleness, shyness, insecure, moral","thirsty, love toward specific people, tired, angry, sad, stressed",33430
2024-04-18 19:06:53,"Intelligent, loud, opinionated","Gullible, emotional, kind",Yes,"wealthy, corrupt, self-centered","poor, quiet","tired, energized, happy, sad",33462
2024-04-18 19:12:18,"smart, just want your money",they are on your side,Yes,"democrat or republican, opinionated,",one sided,"want your money, one sided, strongly opiniated",29575
2024-04-18 19:12:29,greedy,honest,Yes,fake,trusting,hard,33925
2024-04-18 19:18:23,Rule followers cruel greedy deceptive ,Stupid lazy interesting ,Yes,Liars greedy immoral deceptive selfish,Trustworthiness selflessness compassion empathy ,Fit attractive artistic funny,34350
2024-04-18 19:20:23,"rich, scary, intimidating, smart ","dumb, criminal, young, ",Yes,"corrupt, old, liars ","giving, selfless, poor, ","hungry, smart, giving, ",26127
2024-04-18 19:33:59,"They are sneaky, have no morals, and are bad people for helping criminals like OJ","They’re people doing their job like everyone else, they did not create the law system they simply play a small part in it",Yes,They control gas prices and biden has child abuse allegations on him,They are all the same and all politicians lie ,"Right, evil, and money hungry",34048
2024-04-18 19:38:30,"Stubborn, Argumentative, Rich",Lazy,Yes,Stubborn,Lazy,"Nicer, Meaner, Hardworking, Empathic ",33018
2024-04-18 19:39:15,"proud, good liars, good at persuasion",being humble,Yes,"heavy bias, don't live p to promises, use power for self gain","honesty, being unbiased","happiness, mental illness, narcissism",25545
2024-04-18 19:39:23,"intelligent, hard working, strong, motivated/dedicated ","rude, weak, bad listening skills, quiet",Yes,old white male,"kind, compassionate, young","thirsty, hungry",32947
2024-04-18 19:43:35,Lawyers are good at arguing,Lawyers have to defend even bad people,Yes,A stereotype is that they are snobby,They may not believe that they have the best interest of the people ,Being a lawyer or politician doesn’t make you more entitled ,33199
2024-04-18 19:44:23,"Argumentative, talkative, logical, and assertivness","shy, judgey, and non argumentative. ",Yes,"opinionative, strong hearted, and thoughtful","quiet, shy, and truthful",Being a lawyer or politician doesn't make you more or less likely to want to swim compared to the average person.  ,33693
2024-04-18 19:48:11,"rich, outgoing",shy,Yes,"cocky, rude, dumb","shy, quiet","strong, hungry",34250
2024-04-18 19:55:13,"greedy, shady, illegal ","good hearted, altruistic ",Yes,"shady, slimy, racist","kind, open minded, altruisic","sleepy, bored, tired ",29129
2024-04-18 19:57:17,"Honesty, justice, creative, thoughtful ","cheating, untruthful, scammer, trickster",Yes,"liars, greedy, untruthful, non representative ","Greed, non representative, lying","tired, fulfilled, thirsty, stressed ",33192
2024-04-18 19:57:30,"You often hear that lawyers have high stress levels, like to argue, have little free time, and have to study or do research for long hours multiple days a week.",I think people wouldn't believe that lawyers like to go to parties or bars. People probably wouldn't believe lawyers are light hearted and anxiety free since they spend most of their time doing work and being around high stress situations.  ,Yes,"Most people believe politicians are liars, crooks, have little morals or doubts about doing wrong to people. I think people would be far less likely to trust a politician and believe they are always acting to gain popularity. ",Most people would not believe that politicians have their best interest at heart and wouldn't believe they are honest and straightforward. People also might not believe politicians aren't looking for money or support. ,"Being a lawyer or politician does not make you more or less likely to be attractive, faithful, family oriented, religious/spiritual, kinder, or depressed than the average person. ",32906
2024-04-18 19:59:55,"Harsh, inconsiderate and rude",Kind and wanting to help people,Yes,money hungry and inconsiderate,wanting to help the world and make it a better place,"thirsty, tired and energetic ",34283
2024-04-18 20:02:37,ok,ok,Yes,ok,ok,ok,34241
2024-04-18 20:13:42,"Snobby, Rude, Entitled","Poor, Stupid, Nice",Yes,"Rich, Good looking, Powerful","Rude, Dumb, Poor","Athletic, Tall, Short",34446
2024-04-18 20:19:48,"smart, impersonal, unempathetic, nerds, stingy, hardworkers","dumb, stupid, partiers",Yes,"impersonal, harsh, hostile, brave, clean, smart","dirty, personal, empathetic, lazy, unpredictive","tired, thirsty, human",23746
2024-04-18 20:34:23,"deceitful, manipulative, intelligent, logical","truthfulness, stupidity, ignorance",Yes,hiding something ,"grit, truthfulness, honesty, genuineness, unprofessional","sleepy, excited, calm, happy",34295
2024-04-18 20:35:17,"They are loud, like to argue, greedy, dishonest, arrogant and workaholics ","Soft-spoken, Nice, and Free-spirited ",Yes,"They are dishonest, they only have self-interest, ineffective, and disconnected with the public or community","They are humble, selfless, and have empathy","Empathy, Ambition, Risk taking ",33448
2024-04-18 20:39:17,"Lawyers are proud, intelligent, costly, ruthless, workaholics, and aggressive","unconfident, quiet, not smart, lazy",Yes,"liars, old, white, smart, cutthroat","earnest, honest","athletic, curiosity, openness",27720
2024-04-18 20:42:53,"smart, rich, good life, hard-working","dumb, not helpful",Yes,"one-sided, old, rich, men","intelligent, beautiful hair, kind","smart, good hygiene",33460
2024-04-18 20:44:55,Educated,Bias,Yes,Manipulative,Trustworthy,thirsty,33468
2024-04-18 20:51:57,"arrogant, greedy, crooked, ",Integrity,Yes,"Crooked, greedy, tyrant, arrogant",empathy,thirsty,34264
2024-04-18 20:53:14,"Rich, motivated, smart.","Lazy, no schooling, dumb.",Yes,"Politicians are money greedy, old, don't always know eveyrthing.","No drive, no motivation, no want to make things better.","Poor, dumb, not driven.",34082
2024-04-18 20:56:05,"Rude, talkback, think theyre better thab everyone",Humble,Yes,Corrupt,Uncorrupt,"powerhungry, down to earth",33890
2024-04-18 21:00:05,"men, rich, mean, honest","empathy, nice, dishonest",Yes,"self serving, dishonest, corrupt","empathy, selflessness, independence","empathy, organization skills, adaptibility",31872
2024-04-18 21:06:02,"Uptight, Argumentative, Smart","Lazy, unmotivated, unintelligent",Yes,"Outgoing, talkative, leaders","Shy, introverted, quiet",Tired: being a lawyer or politician probably doesn't make you more or less likely to be tired compared to an average person.,34089
2024-04-18 21:08:56,"serious, only in it for the money, Harvard. ","genuinely caring about their client, kind, airheaded.",Yes,"Old white men, out of touch, biased, overconfident.","open minded, unbiased, having the capacity to listen to multiple opinions.  ","thirsty, warmth, cold.",34265
2024-04-18 21:09:35,"Smart, cunning, wealthy, sometimes can be jerks or full of themselves","Stupidity, narrow thinker, bad memory, bad under stress",Yes,"Politicians lie, create and use propaganda, inflate themselves, launder, put themselves before anyone else.","Closed off, understanding","Traits like this would be closed off, quiet, shallow thinking",34189
2024-04-18 21:12:33,"rude, entitled, high egos, smart  ","dishonesty, funny, kind, dumb   ",Yes,"rude, loud, careless, either smart or dumb, obnoxious ","caring, smart. level headed, honest    ","morals, motivation, smart, caring about topics   ",34123
2024-04-18 21:12:56,they read,kind,Yes,okay,"sweet, unorgonized",nice,34160
2024-04-18 21:21:10,"arrogant, manipulative","nice, empathetic",Yes,"confident, ambitious, prideful, charismatic","shy, quiet, introverted","hungry, angry, happy, sad",29048
2024-04-18 21:25:08,All lawyers are rich.,To not be intelligent,Yes,All politicians are old and dumb. They don't care about the new generation.,The ability not to talk to others or in front of a crowd.,"Athletic, being a Lawyer or Politician probably doesn’t make you more or less likely to be athletic compared to the average person.",34418
2024-04-18 21:27:40,"arrogant, persuasive, manipulative","sensitivity, easygoing, noncompetitive",Yes,"corrupt, harsh, assertive","vulnerability, nonconformity, honesty, introversion","sense of humor, hungry, sleep schedule, etc.",31297
2024-04-18 21:28:28,They are good at arguing. They have to wear certain things. ,A quiet voice. A stuttery voice. Anxiety about speaking up. ,Yes,"They only care about themselves. They don't care about the people, just their image and their own beliefs. They keep secrets and cover things up. ",Being honest and open. Being active in the community. Standing up for minorities. ,honest. open. light-hearted. kind. ,33755
2024-04-18 21:29:41,"stingy, greedy","willing, helpful",Yes,"Corrupt, evil, dumb","mercy, charitable, kind","Greedy, nice, smart",34203
2024-04-18 21:30:39,They're smart,They only do it for the money,Yes,They always lie,They have your best interests at heart,being a Lawyer or Politician probably doesn’t make you more or less likely to be a fast runner compared to the average person.,33553
2024-04-18 21:42:44,'- Helpful and trustworthy ,Unreliable ,Yes,smart and educated ,emotions,active,34373
2024-04-18 21:47:04,"harsh, stern , ","funny, lighthearted",Yes,"Rude, not empathetic, ignorant ","funny, personable, kind, forgiving, ",unheigentic  ,20229
